,nombreestablecimiento,direccion,direccion-completa,direccion-corregida,coordenada
131,LIC MODERNO LOS ANDES                                                                               ,CL 64 SUR 71 F 91,"CL 64 SUR 71 F 91,Bogota,Colombia","CALLE 64 SUR 71 F 91,Bogota,Colombia","(4.586616999999999, -74.16657839999999)"
132,JARD INF LOS PEQUEÑOS PRADISTAS                                                                     ,KR 43 128 B 53,"KR 43 128 B 53,Bogota,Colombia","CARRERA 43 128 B 53,Bogota,Colombia","(4.6213779, -74.1034763)"
133,JARD INF JULIO FLOREZ,KR 48 F 94 A 98,"KR 48 F 94 A 98,Bogota,Colombia","CARRERA 48 F 94 A 98,Bogota,Colombia","(4.5770721, -74.1569861)"
134,INST SANTA MARIA DE LA CRUZ                                                                         ,CL 68 D BIS 49 A 03 SUR,"CL 68 D BIS 49 A 03 SUR,Bogota,Colombia","CALLE 68 D BIS 49 A 03 SUR,Bogota,Colombia","(4.577213899999999, -74.1577555)"
135,COLEGIO UNILATINA,CL 46 3 05,"CL 46 3 05,Bogota,Colombia","CALLE 46 3 05,Bogota,Colombia","(4.631985999999999, -74.0616385)"
136,COLEGIO GENERAL SANTANDER (IED),KR 123 65 A 03,"KR 123 65 A 03,Bogota,Colombia","CARRERA 123 65 A 03,Bogota,Colombia","(4.716108999999999, -74.140935)"
137,COLEGIO INTERNACIONAL CAMINO A LA CIMA,CL 47 A SUR 23 A 30,"CL 47 A SUR 23 A 30,Bogota,Colombia","CALLE 47 A SUR 23 A 30,Bogota,Colombia","(4.608802, -74.1644817)"
138,LIC BILING ROMULO GALLEGOS                                                                          ,AC 3 38 A 46,"AC 3 38 A 46,Bogota,Colombia","AC 3 38 A 46,Bogota,Colombia","(4.6099933, -74.10897240000001)"
139,JARD INF ALEGRE DESPERTAR                                                                           ,CL 8 A SUR 7 A 09,"CL 8 A SUR 7 A 09,Bogota,Colombia","CALLE 8 A SUR 7 A 09,Bogota,Colombia","(4.5811487, -74.0862293)"
140,JARD INF BILING FANTASIA DE COLORES                                                                 ,KR 52 130 A 18,"KR 52 130 A 18,Bogota,Colombia","CARRERA 52 130 A 18,Bogota,Colombia","(4.726434999999999, -74.055325)"
141,LIC PEDAGOGICO                                                                                      ,KR 20 68 31,"KR 20 68 31,Bogota,Colombia","CARRERA 20 68 31,Bogota,Colombia","(4.6577623, -74.0671685)"
142,COLEGIO TALENTOS,KR 71 D 4 71,"KR 71 D 4 71,Bogota,Colombia","CARRERA 71 D 4 71,Bogota,Colombia","(4.6279694, -74.1363891)"
143,COL NUEVO MUNDO                                                                                     ,TV 3 C BIS 70 A 15 SUR,"TV 3 C BIS 70 A 15 SUR,Bogota,Colombia","TV 3 C BIS 70 A 15 SUR,Bogota,Colombia","(4.5222577, -74.121725)"
144,GIMN MODERNO CASTILLA                                                                               ,AC 8 78 C 04,"AC 8 78 C 04,Bogota,Colombia","AC 8 78 C 04,Bogota,Colombia","(4.6385602, -74.1419906)"
145,POLITECNICO LA SALLE                                                                                ,KR 10 20 93 SUR,"KR 10 20 93 SUR,Bogota,Colombia","CARRERA 10 20 93 SUR,Bogota,Colombia","(4.608580799999999, -74.0731701)"
146,COL ALTA BLANCA                                                                                     ,CL 157 7 H 70,"CL 157 7 H 70,Bogota,Colombia","CALLE 157 7 H 70,Bogota,Colombia","(4.733804699999999, -74.0278943)"
147,COLEGIO LLANO ORIENTAL (IED),CL 73 B SUR KR 82 A BIS,"CL 73 B SUR KR 82 A BIS,Bogota,Colombia","CALLE 73 B SUR CARRERA 82 A BIS,Bogota,Colombia","(4.563673, -74.1658805)"
148,LIC FORMACION EDUC PERSONALIZADA                                                                    ,KR 33 90 31,"KR 33 90 31,Bogota,Colombia","CARRERA 33 90 31,Bogota,Colombia","(4.6315431, -74.08072680000001)"
149,COLEGIO REPUBLICA DE BOLIVIA (IED),KR 68 G 78 90,"KR 68 G 78 90,Bogota,Colombia","CARRERA 68 G 78 90,Bogota,Colombia","(4.684730099999999, -74.0816554)"
150,COL SAN RAFAEL                                                                                      ,TV 72 C BIS 44 03 SUR,"TV 72 C BIS 44 03 SUR,Bogota,Colombia","TV 72 C BIS 44 03 SUR,Bogota,Colombia","(4.601048599999999, -74.14755339999999)"
151,I.E.ESTILO DINAMICO                                                                           ,KR 67 A 40 70 SUR,"KR 67 A 40 70 SUR,Bogota,Colombia","CARRERA 67 A 40 70 SUR,Bogota,Colombia","(4.686735100000001, -74.0726072)"
152,LIC NUEVO MUNDO                                                                                     ,KR 4 6 D 38,"KR 4 6 D 38,Bogota,Colombia","CARRERA 4 6 D 38,Bogota,Colombia","(4.5928983, -74.074581)"
153,COL CARDENAL PACELLI                                                                                ,KR 70 180 92,"KR 70 180 92,Bogota,Colombia","CARRERA 70 180 92,Bogota,Colombia","(4.768193699999999, -74.0578578)"
154,COL SANTA ANA                                                                                       ,KR 103 B 18 41,"KR 103 B 18 41,Bogota,Colombia","CARRERA 103 B 18 41,Bogota,Colombia","(4.6761595, -74.1458748)"
155,GIMN MI BELLA INFANCIA                                                                              ,KR 54 4 45,"KR 54 4 45,Bogota,Colombia","CARRERA 54 4 45,Bogota,Colombia","(4.6201628, -74.1181083)"
156,JARD INF MI PEQUEÑO MUNDO BARRETO GOMEZ Y CIA LTDA                                                  ,CL 131 77 04,"CL 131 77 04,Bogota,Colombia","CALLE 131 77 04,Bogota,Colombia","(4.7245538, -74.0760064)"
157,COL ROBERT HOOKE                                                                                    ,CL 17 SUR 17 53,"CL 17 SUR 17 53,Bogota,Colombia","CALLE 17 SUR 17 53,Bogota,Colombia","(4.585274399999999, -74.1006507)"
158,COLEGIO ANTONIO GRANADOS,KR 100 139 54,"KR 100 139 54,Bogota,Colombia","CARRERA 100 139 54,Bogota,Colombia","(4.7402, -74.0928569)"
159,CENT DE ESTIMULACION TEMPRANA DESPERTAR                                                             ,KR 73 C 24 D 44,"KR 73 C 24 D 44,Bogota,Colombia","CARRERA 73 C 24 D 44,Bogota,Colombia","(4.6662245, -74.1161042)"
160,COL JHON DALTON                                                                                     ,KR 17 51 67,"KR 17 51 67,Bogota,Colombia","CARRERA 17 51 67,Bogota,Colombia","(4.639668500000001, -74.0696346)"
161,JARD INF TIA CECY                                                                                   ,TV 80 85 77,"TV 80 85 77,Bogota,Colombia","TV 80 85 77,Bogota,Colombia","(4.6999725, -74.0964721)"
162,JARD INF LUKAS KINDERGARDEN                                                                         ,DG 83 A 22 25,"DG 83 A 22 25,Bogota,Colombia","DIAGONAL 83 A 22 25,Bogota,Colombia","(4.7048333, -74.0968517)"
163,COL PSICOPEDAG VILLA MAYOR                                                                          ,KR 35 32 08 SUR,"KR 35 32 08 SUR,Bogota,Colombia","CARRERA 35 32 08 SUR,Bogota,Colombia","(4.593637999999999, -74.1182725)"
164,LIC PEDAG MONTFORTIANO                                                                              ,KR 53 B 47 12 SUR,"KR 53 B 47 12 SUR,Bogota,Colombia","CARRERA 53 B 47 12 SUR,Bogota,Colombia","(4.593243, -74.1405346)"
165,COL PREESC LAS  ALEJANDRITAS                                                                        ,CLL. 136A NO.111B-06,"CLL. 136A NO.111B-06,Bogota,Colombia","CLL. 136A NO.111B-06,Bogota,Colombia","(4.7415633, -74.1035952)"
166,CENT EDUC DIST FE Y ALEGRIA BELLAVISTA LA Y                                                         ,DG 69 A SUR 48 A 07,"DG 69 A SUR 48 A 07,Bogota,Colombia","DIAGONAL 69 A SUR 48 A 07,Bogota,Colombia","(4.5746421, -74.15821749999999)"
167,JARD PSICOPEDAG EL MANANTIAL DEL SABER                                                              ,KR 25 A 4 B 20,"KR 25 A 4 B 20,Bogota,Colombia","CARRERA 25 A 4 B 20,Bogota,Colombia","(4.6008447, -74.0954902)"
168,COLEGIO RUR EL CURUBITAL (CED),KM 15 VIA USME SAN JUAN DE SUMAPAZ,"KM 15 VIA USME SAN JUAN DE SUMAPAZ,Bogota,Colombia","KM 15 VIA USME SAN JUAN DE SUMAPAZ,Bogota,Colombia","(4.02945, -74.31407999999999)"
169,JARD INF TALLER DE ARTE ARCO IRIS                                                                   ,CL 87 9 06,"CL 87 9 06,Bogota,Colombia","CALLE 87 9 06,Bogota,Colombia","(4.6692433, -74.04816559999999)"
170,COL COOP MINUTO DE DIOS                                                                             ,IND TR 74 NO.82B-05,"IND TR 74 NO.82B-05,Bogota,Colombia","IND TR 74 NO.82B-05,Bogota,Colombia","(4.6991308, -74.090535)"
171,COL LUIS CONCHA CORDOBA                                                                             ,AV 3 38 A 05,"AV 3 38 A 05,Bogota,Colombia","AVENIDA 3 38 A 05,Bogota,Colombia","(4.710988599999999, -74.072092)"
172,COLEGIO DEBORA ARANGO PEREZ (IED),KR 84 A 57 B 04 SUR,"KR 84 A 57 B 04 SUR,Bogota,Colombia","CARRERA 84 A 57 B 04 SUR,Bogota,Colombia","(4.6173584, -74.1881245)"
173,COL  INF PSICOPEDAGOGICO CRECER                                                                     ,CL 163 7 G 30,"CL 163 7 G 30,Bogota,Colombia","CALLE 163 7 G 30,Bogota,Colombia","(4.7386475, -74.0261847)"
174,CENT EDUC DE NSTRA SRA DE LA PAZ                                                                    ,KR 27 29 65 SUR,"KR 27 29 65 SUR,Bogota,Colombia","CARRERA 27 29 65 SUR,Bogota,Colombia","(4.5882926, -74.1138794)"
175,LIC CARMELITA                                                                                       ,KR 77 K 57 D 23 SUR,"KR 77 K 57 D 23 SUR,Bogota,Colombia","CARRERA 77 K 57 D 23 SUR,Bogota,Colombia","(4.6056582, -74.1740753)"
176,COLEGIO ANTONIO NARIÑO (IED),KR 77 A 67 17,"KR 77 A 67 17,Bogota,Colombia","CARRERA 77 A 67 17,Bogota,Colombia","(4.6859456, -74.10393429999999)"
177,COLEGIO ALFONSO REYES ECHANDIA (IED),KR 94 A SUR CL 74,"KR 94 A SUR CL 74,Bogota,Colombia","CARRERA 94 A SUR CALLE 74,Bogota,Colombia","(4.7026718, -74.11043459999999)"
178,JARD INF MI SEGUNDA ESTACION                                                                        ,CR. 72D NO.45-30 SUR,"CR. 72D NO.45-30 SUR,Bogota,Colombia","CR. 72D NO.45-30 SUR,Bogota,Colombia","(4.661124399999999, -74.12245829999999)"
179,COL ARTEAGA MUÑOZ                                                                                   ,CL 18 SUR 13 89,"CL 18 SUR 13 89,Bogota,Colombia","CALLE 18 SUR 13 89,Bogota,Colombia","(4.615374699999999, -74.126561)"
180,LICEO PEDAGÓGICO FORJADORES DEL FUTURO,CL 67 SUR 91 89,"CL 67 SUR 91 89,Bogota,Colombia","CALLE 67 SUR 91 89,Bogota,Colombia","(4.6293868, -74.1971871)"
181,COL CENCOSISTEMAS                                                                                   ,KR 18 18 68 SUR,"KR 18 18 68 SUR,Bogota,Colombia","CARRERA 18 18 68 SUR,Bogota,Colombia","(4.6107103, -74.0798736)"
182,COLEGIO MANUEL DEL SOCORRO RODRIGUEZ (IED),AV 44 SUR 23 A 52,"AV 44 SUR 23 A 52,Bogota,Colombia","AVENIDA 44 SUR 23 A 52,Bogota,Colombia","(4.5828747, -74.1266775)"
183,GIMNASIO BILINGUE CASA CAMPESTRE DE LOS NIÑOS,KR 82 23 B 73,"KR 82 23 B 73,Bogota,Colombia","CARRERA 82 23 B 73,Bogota,Colombia","(4.6676353, -74.1246987)"
184,JARDÍN INFANTIL HUELLAS MAGICAS,TV 54 1 A 50 SUR,"TV 54 1 A 50 SUR,Bogota,Colombia","TV 54 1 A 50 SUR,Bogota,Colombia","(4.710988599999999, -74.072092)"
185,COL SANTA CECILIA                                                                                   ,DG 48 SUR 54 B 04,"DG 48 SUR 54 B 04,Bogota,Colombia","DIAGONAL 48 SUR 54 B 04,Bogota,Colombia","(4.5928699, -74.14277659999999)"
186,LIC LA ESPAÑOLA GABRIEL ANZOLA GOMEZ                                                                ,TV 76 A 83 A 12,"TV 76 A 83 A 12,Bogota,Colombia","TV 76 A 83 A 12,Bogota,Colombia","(4.7047088, -74.0927268)"
187,GIMN PEDAG NSTRA SRA DE FATIMA                                                                      ,KR 53 A 51 04 SUR,"KR 53 A 51 04 SUR,Bogota,Colombia","CARRERA 53 A 51 04 SUR,Bogota,Colombia","(4.713481499999999, -74.06078699999999)"
188,JARD INF CUENTOS Y RONDAS                                                                           ,CL 79 109 04,"CL 79 109 04,Bogota,Colombia","CALLE 79 109 04,Bogota,Colombia","(4.7155399, -74.1181108)"
189,COL COLOMBO BOLIVIANO                                                                               ,CL 79 107 28,"CL 79 107 28,Bogota,Colombia","CALLE 79 107 28,Bogota,Colombia","(4.6628891, -74.0538311)"
190,CENT EDUC DIST COLSUBSIDIO TORQUIGUA,CL 64 128 50,"CL 64 128 50,Bogota,Colombia","CALLE 64 128 50,Bogota,Colombia","(4.7205167, -74.1434395)"
191,COL Y JARD INF MI EDAD FELIZ                                                                        ,DG 112 58 34,"DG 112 58 34,Bogota,Colombia","DIAGONAL 112 58 34,Bogota,Colombia","(4.7101613, -74.1294969)"
192,COLEGIO JOSE FELIX RESTREPO (IED),KR 6 18 B 04 SUR,"KR 6 18 B 04 SUR,Bogota,Colombia","CARRERA 6 18 B 04 SUR,Bogota,Colombia","(4.5906527, -74.078397)"
193,JARD INF MOUGLI                                                                                     ,CL 103 70 58,"CL 103 70 58,Bogota,Colombia","CALLE 103 70 58,Bogota,Colombia","(4.6963644, -74.0736877)"
194,CENT PANAMERICANO DE CAPACITACION SEDE ESTRADA                                                      ,AC 72 61 33,"AC 72 61 33,Bogota,Colombia","AC 72 61 33,Bogota,Colombia","(4.6781065, -74.0862785)"
195,GIMN SANTA ROSA DE LIMA                                                                             ,KR 17 33 33,"KR 17 33 33,Bogota,Colombia","CARRERA 17 33 33,Bogota,Colombia","(4.6222223, -74.072544)"
196,GIMN DEL NORTE,CL 207 70 50,"CL 207 70 50,Bogota,Colombia","CALLE 207 70 50,Bogota,Colombia","(4.783986800000001, -74.043041)"
197,COL CENT DE APLICACIÓN PEDAGOGICA (CEDAP),KR 21 56 24,"KR 21 56 24,Bogota,Colombia","CARRERA 21 56 24,Bogota,Colombia","(4.6445847, -74.0712736)"
198,JARDIN INFANTIL CAMINOS MAGICOS,CL 66 B 56 B 53,"CL 66 B 56 B 53,Bogota,Colombia","CALLE 66 B 56 B 53,Bogota,Colombia","(4.6659174, -74.0814753)"
199,GIMNASIO ANDINO,KR 28 51 A 20,"KR 28 51 A 20,Bogota,Colombia","CARRERA 28 51 A 20,Bogota,Colombia","(4.6409569, -74.07721889999999)"
200,LIC LOS CENTAUROS                                                                                   ,CL 67 D 105 B 04,"CL 67 D 105 B 04,Bogota,Colombia","CALLE 67 D 105 B 04,Bogota,Colombia","(4.6999328, -74.1235931)"
201,FUND COL MAYOR DE SAN BARTOLOME                                                                     ,KR 7 9 96,"KR 7 9 96,Bogota,Colombia","CARRERA 7 9 96,Bogota,Colombia","(4.5970871, -74.07578409999999)"
202,GIMN LOS ROBLES                                                                                     ,IND AUTOP. NORTE CARRET. GUAYMARAL CHIA KM. 5,"IND AUTOP. NORTE CARRET. GUAYMARAL CHIA KM. 5,Bogota,Colombia","IND AUTOP. NORTE CARRET. GUAYMARAL CHIA KM. 5,Bogota,Colombia","(4.8127067, -74.0636095)"
203,COL PARROQ SAN ROQUE                                                                                ,KR 19 A 6 B 22,"KR 19 A 6 B 22,Bogota,Colombia","CARRERA 19 A 6 B 22,Bogota,Colombia","(4.6019045, -74.0893312)"
204,COLEGIO LICEO NACIONAL AGUSTIN NIETO CABALLERO (IED),KR 19 11 17,"KR 19 11 17,Bogota,Colombia","CARRERA 19 11 17,Bogota,Colombia","(4.6056139, -74.0859951)"
205,EXTERN SIMON BOLIVAR                                                                                ,KR 16 59 23,"KR 16 59 23,Bogota,Colombia","CARRERA 16 59 23,Bogota,Colombia","(4.6469347, -74.0675792)"
206,LICEO MODERNO BRITANICO,DG 83 A 86 18,"DG 83 A 86 18,Bogota,Colombia","DIAGONAL 83 A 86 18,Bogota,Colombia","(4.705966699999999, -74.09883669999999)"
207,COLEGIO EL LIBERTADOR (IED),CL 33 SUR 24 B 20,"CL 33 SUR 24 B 20,Bogota,Colombia","CALLE 33 SUR 24 B 20,Bogota,Colombia","(4.5830717, -74.1170911)"
208,LIC SOMA                                                                                            ,KR 64 B 57 B 95 SUR,"KR 64 B 57 B 95 SUR,Bogota,Colombia","CARRERA 64 B 57 B 95 SUR,Bogota,Colombia","(4.5986264, -74.1560514)"
209,JARD INF MATERNAL LA CASITA DEL SABER                                                               ,KR 29 B 1 A 77,"KR 29 B 1 A 77,Bogota,Colombia","CARRERA 29 B 1 A 77,Bogota,Colombia","(4.5983933, -74.1042209)"
210,COLEGIO DE INTEGRACION CULTURAL COLDIC,KR 50 1 D 79,"KR 50 1 D 79,Bogota,Colombia","CARRERA 50 1 D 79,Bogota,Colombia","(4.6106074, -74.1171025)"
211,INST SALCEDO                                                                                        ,DG. 46 SUR NO. 5L-17,"DG. 46 SUR NO. 5L-17,Bogota,Colombia","DIAGONAL 46 SUR NO. 5L-17,Bogota,Colombia","(4.5610807, -74.11230499999999)"
212,PREESCOLAR HORMIGUITAS,KR 78 5 42,"KR 78 5 42,Bogota,Colombia","CARRERA 78 5 42,Bogota,Colombia","(4.6290853, -74.14482699999999)"
213,COL REAL DE BOGOTA                                                                                  ,CL 71 BIS 71 76,"CL 71 BIS 71 76,Bogota,Colombia","CALLE 71 BIS 71 76,Bogota,Colombia","(4.6850705, -74.0947971)"
214,CENT EDUC DIST DON BOSCO V,CL 143 A 118 50,"CL 143 A 118 50,Bogota,Colombia","CALLE 143 A 118 50,Bogota,Colombia","(4.749791, -74.107632)"
215,INST GERARDO VALENCIA CANO (LA AZUCENA DE BOS                                                       ,KR 77 J 65 I 22 SUR,"KR 77 J 65 I 22 SUR,Bogota,Colombia","CARRERA 77 J 65 I 22 SUR,Bogota,Colombia","(4.5985269, -74.1835599)"
216,COLEGIO RUR LAS MERCEDES (CED),KM 17 VIA USME SAN JUAN SUMAPAZ,"KM 17 VIA USME SAN JUAN SUMAPAZ,Bogota,Colombia","KM 17 VIA USME SAN JUAN SUMAPAZ,Bogota,Colombia","(4.508056, -74.1140039)"
217,LICEO INFANTIL FANTASIAS,KR 87 47 03 SUR,"KR 87 47 03 SUR,Bogota,Colombia","CARRERA 87 47 03 SUR,Bogota,Colombia","(4.6620859, -74.134954)"
218,JARD INF LUZ  DEL MAÑANA                                                                            ,CL 72 83 87,"CL 72 83 87,Bogota,Colombia","CALLE 72 83 87,Bogota,Colombia","(4.694865099999999, -74.1049365)"
219,JARD INF EL CIEMPIES YEYE                                                                           ,DG 51 A BIS SUR 57 34,"DG 51 A BIS SUR 57 34,Bogota,Colombia","DIAGONAL 51 A BIS SUR 57 34,Bogota,Colombia","(4.588553399999999, -74.14740069999999)"
220,CENT DE EDUC DE ADULTOS CULTURAL,CL 139 A 111 04,"CL 139 A 111 04,Bogota,Colombia","CALLE 139 A 111 04,Bogota,Colombia","(4.7434408, -74.1006712)"
221,GIMNASIO MABEL CONDEMARIN,KR 98 130 C 61,"KR 98 130 C 61,Bogota,Colombia","CARRERA 98 130 C 61,Bogota,Colombia","(4.7307261, -74.09463)"
222,COLEGIO BILINGÜE SAN JUAN DE ÁVILA,IND KM 5 VIA SUBA - COTA,"IND KM 5 VIA SUBA - COTA,Bogota,Colombia","IND KM 5 VIA SUBA - COTA,Bogota,Colombia","(4.7868467, -74.0924294)"
223,LIC LINGÜISTICO MODERNO LTDA                                                                        ,DIAG. 48F SUR  NO. 5G-12,"DIAG. 48F SUR  NO. 5G-12,Bogota,Colombia","DIAG. 48F SUR  NO. 5G-12,Bogota,Colombia","(4.558413, -74.1108953)"
224,COLEGIO MONTEBELLO (IED),CL 26 SUR 2 44 ESTE,"CL 26 SUR 2 44 ESTE,Bogota,Colombia","CALLE 26 SUR 2 44 ESTE,Bogota,Colombia","(4.568014799999999, -74.091411)"
225,JARD INF CARTAGENA DE INDIAS                                                                        ,CL 19 SUR 13 A 24,"CL 19 SUR 13 A 24,Bogota,Colombia","CALLE 19 SUR 13 A 24,Bogota,Colombia","(4.585816599999999, -74.10373009999999)"
226,COL INF COLOMBIANO                                                                                  ,CL 86 B 99 62 IN 101,"CL 86 B 99 62 IN 101,Bogota,Colombia","CALLE 86 B 99 62 IN 101,Bogota,Colombia","(4.7160975, -74.1056826)"
227,LIC PSICOPEDAG BOLIVIA                                                                              ,CL 80 106 A 10,"CL 80 106 A 10,Bogota,Colombia","CALLE 80 106 A 10,Bogota,Colombia","(4.6812185, -74.0720308)"
